214.00,168.00,72.00,196.00
211.00,168.00,72.00,196.00
211.00,168.00,72.00,196.00
210.00,168.00,72.00,196.00
209.00,170.00,72.00,196.00
209.00,169.00,72.00,196.00
209.00,169.00,72.00,196.00
208.00,171.00,72.00,196.00
208.00,170.00,72.00,196.00
221.00,214.00,105.00,173.00
221.00,221.00,105.00,173.00
221.00,220.00,105.00,173.00
225.00,213.00,109.00,203.00
225.00,216.00,109.00,203.00
225.00,213.00,109.00,203.00
226.00,214.00,109.00,203.00
214.00,216.00,109.00,203.00
213.00,212.00,109.00,203.00
210.00,210.00,109.00,203.00
211.00,212.00,109.00,203.00
209.00,216.00,104.00,192.00
210.00,213.00,104.00,192.00
212.00,210.00,104.00,192.00
211.00,212.00,104.00,192.00
212.00,210.00,104.00,192.00
217.00,212.00,102.00,166.00
221.00,212.00,102.00,166.00
228.00,209.00,102.00,166.00
231.00,210.00,102.00,166.00
234.00,211.00,102.00,166.00
242.00,210.00,102.00,166.00
242.00,208.00,102.00,166.00
246.00,206.00,102.00,166.00
248.00,206.00,102.00,166.00
251.00,208.00,102.00,166.00
251.00,208.00,102.00,166.00
258.00,207.00,102.00,166.00
263.00,214.00,102.00,166.00
286.00,207.00,102.00,166.00
299.00,204.00,102.00,166.00
307.00,201.00,102.00,166.00
311.00,199.00,102.00,166.00
312.00,205.00,102.00,166.00
314.00,204.00,102.00,166.00
311.00,210.00,102.00,166.00
308.00,210.00,102.00,166.00
305.00,211.00,102.00,166.00
299.00,208.00,102.00,166.00
282.00,203.00,102.00,166.00
277.00,202.00,102.00,166.00
273.00,203.00,102.00,166.00
270.00,209.00,102.00,166.00
268.00,208.00,102.00,166.00
266.00,207.00,102.00,166.00
266.00,210.00,102.00,166.00
263.00,212.00,102.00,166.00
262.00,208.00,102.00,166.00
251.00,201.00,123.00,188.00
254.00,197.00,123.00,188.00
259.00,199.00,123.00,188.00
259.00,203.00,123.00,188.00
259.00,202.00,123.00,188.00
259.00,199.00,123.00,188.00
261.00,198.00,123.00,188.00
265.00,197.00,123.00,188.00
270.00,197.00,123.00,188.00
273.00,198.00,123.00,188.00
278.00,201.00,123.00,188.00
260.00,201.00,123.00,188.00
245.00,208.00,123.00,188.00
237.00,203.00,123.00,188.00
231.00,206.00,123.00,188.00
232.00,203.00,123.00,188.00
232.00,204.00,123.00,188.00
236.00,199.00,123.00,188.00
240.00,198.00,123.00,188.00
251.00,197.00,123.00,188.00
259.00,200.00,123.00,188.00
267.00,197.00,123.00,188.00
273.00,197.00,123.00,188.00
283.00,198.00,123.00,188.00
284.00,197.00,123.00,188.00
282.00,200.00,123.00,188.00
283.00,197.00,123.00,188.00
282.00,197.00,123.00,188.00
283.00,197.00,123.00,188.00
282.00,197.00,123.00,188.00
282.00,195.00,123.00,188.00
285.00,201.00,123.00,188.00
297.00,204.00,123.00,188.00
309.00,202.00,123.00,188.00
337.00,197.00,123.00,188.00
360.00,191.00,123.00,188.00
386.00,195.00,123.00,188.00
408.00,198.00,123.00,188.00
415.00,198.00,123.00,188.00
410.00,243.00,138.00,149.00
407.00,246.00,138.00,149.00
372.00,248.00,138.00,149.00
380.00,265.00,132.00,150.00
379.00,265.00,132.00,150.00
378.00,265.00,132.00,150.00
377.00,265.00,132.00,150.00
377.00,266.00,132.00,150.00
375.00,263.00,132.00,150.00
369.00,263.00,132.00,150.00
365.00,264.00,132.00,150.00
352.00,262.00,132.00,150.00
353.00,258.00,132.00,150.00
351.00,262.00,132.00,150.00
339.00,264.00,132.00,150.00
336.00,260.00,132.00,150.00
332.00,257.00,132.00,150.00
327.00,262.00,132.00,150.00
365.00,263.00,97.00,142.00
367.00,261.00,97.00,142.00
367.00,264.00,97.00,142.00
376.00,264.00,97.00,142.00
380.00,266.00,97.00,142.00
411.00,255.00,96.00,166.00
407.00,253.00,96.00,166.00
403.00,254.00,96.00,166.00
392.00,254.00,96.00,166.00
387.00,253.00,96.00,166.00
